user,kategoria,instancja,odpowiedz
1,skandynawski,1,Zdecydowanie chciał(a)bym tak mieszkać
1,boho,1,Zdecydowanie bym tego nie zrobił/a
1,boho,2,Zdecydowanie bym tego nie zrobił/a
1,boho,3,Chętnie bym tak umeblował/a mieszkanie
1,boho,4,Nie mam zdania / Jest mi to obojętne
1,boho,5,Zdecydowanie bym tego nie zrobił/a
1,industrialny,1,Chętnie bym tak umeblował/a mieszkanie
1,industrialny,2,Chętnie bym tak umeblował/a mieszkanie
1,industrialny,3,Zdecydowanie chciał(a)bym tak mieszkać
1,industrialny,4,Chętnie bym tak umeblował/a mieszkanie
1,industrialny,5,Chętnie bym tak umeblował/a mieszkanie
1,skandynawski,2,Chętnie bym tak umeblował/a mieszkanie
1,skandynawski,3,Chętnie bym tak umeblował/a mieszkanie
1,skandynawski,4,Nie mam zdania / Jest mi to obojętne
1,skandynawski,5,Chętnie bym tak umeblował/a mieszkanie
2,skandynawski,1,Raczej nie chciał(a)bym tak mieszkać
2,boho,1,Zdecydowanie chciał(a)bym tak mieszkać
2,boho,2,Zdecydowanie chciał(a)bym tak mieszkać
2,boho,3,Chętnie bym tak umeblował/a mieszkanie
2,boho,4,Nie mam zdania / Jest mi to obojętne
2,boho,5,Chętnie bym tak umeblował/a mieszkanie
2,industrialny,1,Zdecydowanie bym tego nie zrobił/a
2,industrialny,2,Zdecydowanie bym tego nie zrobił/a
2,industrialny,3,Chętnie bym tak umeblował/a mieszkanie
2,industrialny,4,Zdecydowanie bym tego nie zrobił/a
2,industrialny,5,Raczej nie chciał(a)bym tak mieszkać
2,skandynawski,2,Zdecydowanie bym tego nie zrobił/a
2,skandynawski,3,Zdecydowanie bym tego nie zrobił/a
2,skandynawski,4,Zdecydowanie bym tego nie zrobił/a
2,skandynawski,5,Zdecydowanie bym tego nie zrobił/a
3,skandynawski,1,Chętnie bym tak umeblował/a mieszkanie
3,boho,1,Zdecydowanie bym tego nie zrobił/a
3,boho,2,Raczej nie chciał(a)bym tak mieszkać
3,boho,3,Raczej nie chciał(a)bym tak mieszkać
3,boho,4,Raczej nie chciał(a)bym tak mieszkać
3,boho,5,Raczej nie chciał(a)bym tak mieszkać
3,industrialny,1,Chętnie bym tak umeblował/a mieszkanie
3,industrialny,2,Chętnie bym tak umeblował/a mieszkanie
3,industrialny,3,Chętnie bym tak umeblował/a mieszkanie
3,industrialny,4,Zdecydowanie bym tego nie zrobił/a
3,industrialny,5,Chętnie bym tak umeblował/a mieszkanie
3,skandynawski,2,Zdecydowanie chciał(a)bym tak mieszkać
3,skandynawski,3,Chętnie bym tak umeblował/a mieszkanie
3,skandynawski,4,Chętnie bym tak umeblował/a mieszkanie
3,skandynawski,5,Zdecydowanie chciał(a)bym tak mieszkać
4,skandynawski,1,Chętnie bym tak umeblował/a mieszkanie
4,boho,1,Raczej nie chciał(a)bym tak mieszkać
4,boho,2,Zdecydowanie chciał(a)bym tak mieszkać
4,boho,3,Chętnie bym tak umeblował/a mieszkanie
4,boho,4,Chętnie bym tak umeblował/a mieszkanie
4,boho,5,Nie mam zdania / Jest mi to obojętne
4,industrialny,1,Raczej nie chciał(a)bym tak mieszkać
4,industrialny,2,Zdecydowanie chciał(a)bym tak mieszkać
4,industrialny,3,Chętnie bym tak umeblował/a mieszkanie
4,industrialny,4,Zdecydowanie chciał(a)bym tak mieszkać
4,industrialny,5,Chętnie bym tak umeblował/a mieszkanie
4,skandynawski,2,Zdecydowanie chciał(a)bym tak mieszkać
4,skandynawski,3,Chętnie bym tak umeblował/a mieszkanie
4,skandynawski,4,Chętnie bym tak umeblował/a mieszkanie
4,skandynawski,5,Zdecydowanie chciał(a)bym tak mieszkać
5,skandynawski,1,Nie mam zdania / Jest mi to obojętne
5,boho,1,Zdecydowanie bym tego nie zrobił/a
5,boho,2,Zdecydowanie bym tego nie zrobił/a
5,boho,3,Raczej nie chciał(a)bym tak mieszkać
5,boho,4,Raczej nie chciał(a)bym tak mieszkać
5,boho,5,Zdecydowanie bym tego nie zrobił/a
5,industrialny,1,Raczej nie chciał(a)bym tak mieszkać
5,industrialny,2,Chętnie bym tak umeblował/a mieszkanie
5,industrialny,3,Chętnie bym tak umeblował/a mieszkanie
5,industrialny,4,Zdecydowanie bym tego nie zrobił/a
5,industrialny,5,Zdecydowanie bym tego nie zrobił/a
5,skandynawski,2,Chętnie bym tak umeblował/a mieszkanie
5,skandynawski,3,Chętnie bym tak umeblował/a mieszkanie
5,skandynawski,4,Zdecydowanie bym tego nie zrobił/a
5,skandynawski,5,Zdecydowanie chciał(a)bym tak mieszkać
6,skandynawski,1,Raczej nie chciał(a)bym tak mieszkać
6,boho,1,Raczej nie chciał(a)bym tak mieszkać
6,boho,2,Chętnie bym tak umeblował/a mieszkanie
6,boho,3,Raczej nie chciał(a)bym tak mieszkać
6,boho,4,Chętnie bym tak umeblował/a mieszkanie
6,boho,5,Chętnie bym tak umeblował/a mieszkanie
6,industrialny,1,Raczej nie chciał(a)bym tak mieszkać
6,industrialny,2,Chętnie bym tak umeblował/a mieszkanie
6,industrialny,3,Raczej nie chciał(a)bym tak mieszkać
6,industrialny,4,Raczej nie chciał(a)bym tak mieszkać
6,industrialny,5,Raczej nie chciał(a)bym tak mieszkać
6,skandynawski,2,Chętnie bym tak umeblował/a mieszkanie
6,skandynawski,3,Raczej nie chciał(a)bym tak mieszkać
6,skandynawski,4,Raczej nie chciał(a)bym tak mieszkać
6,skandynawski,5,Chętnie bym tak umeblował/a mieszkanie
7,skandynawski,1,Zdecydowanie chciał(a)bym tak mieszkać
7,boho,1,Nie mam zdania / Jest mi to obojętne
7,boho,2,Raczej nie chciał(a)bym tak mieszkać
7,boho,3,Raczej nie chciał(a)bym tak mieszkać
7,boho,4,Raczej nie chciał(a)bym tak mieszkać
7,boho,5,Zdecydowanie bym tego nie zrobił/a
7,industrialny,1,Nie mam zdania / Jest mi to obojętne
7,industrialny,2,Raczej nie chciał(a)bym tak mieszkać
7,industrialny,3,Raczej nie chciał(a)bym tak mieszkać
7,industrialny,4,Zdecydowanie bym tego nie zrobił/a
7,industrialny,5,Raczej nie chciał(a)bym tak mieszkać
7,skandynawski,2,Zdecydowanie bym tego nie zrobił/a
7,skandynawski,3,Nie mam zdania / Jest mi to obojętne
7,skandynawski,4,Raczej nie chciał(a)bym tak mieszkać
7,skandynawski,5,Chętnie bym tak umeblował/a mieszkanie
